,TONDUR,EngSpDist_K1,EngSpDist_K2,EngSpDist_K3,EngSpDist_K4,EngSpDist_K5,EngSpDist_K6,EngSpDist_K7,EngSpDist_K8,AmbTempDist_K8,AmbTempDist_K9,MILEAGE,LABEL
0,1249456.1,239471.8,443507.3,230166.7,18955.4,3453.7,1631.0,748.4,373.2,155,0,35008,0
1,2221482.5,868673.2,862615.7,154180.3,12707.2,2885.7,951.6,466.9,255.2,167,1,14959,0
2,3433681.7,822744.4,1954545.1,366699.7,26077.9,1452.6,238.2,91.5,47.4,261,2,37685,0
3,615134.7,138935.2,209138.3,106259.6,10133.9,1111.9,230.7,81.5,49.9,112,2,7054,0
4,2141362.5,797644.6,729555.5,242742.9,13288.6,2374.5,815.7,341.1,175.1,229,2,19680,0
5,2442523.3,995963.0,934614.4,267169.0,73543.9,3336.4,291.2,93.1,116.9,777,512,24003,0
6,3150065.9,1928615.5,688105.5,153326.0,11309.2,1492.4,176.3,46.0,18.7,436,0,9984,0
7,595254.8,231139.6,97716.8,16935.5,2237.0,1048.4,176.1,45.4,15.0,410,194,1530,0
8,3345254.9,1898302.8,904410.8,119945.6,4615.7,988.9,160.3,54.0,22.4,331,2,12296,0
9,1800182.0,774206.8,600710.4,108724.1,11754.4,2567.1,563.1,217.7,85.4,1053,6,9249,0
10,3827494.0,1798966.1,1403053.3,232070.9,11119.1,1502.4,260.0,79.8,38.2,1332,111,19818,0
11,1062785.9,292019.6,487814.0,86602.1,6702.9,897.2,100.4,38.7,18.5,250,13,9508,0
12,1343756.6,582338.2,453285.4,115035.9,9553.4,2078.4,640.2,334.6,217.9,94,0,8280,0
13,1111525.3,397527.1,406804.1,62888.6,7346.0,1471.1,261.3,101.2,80.1,556,40,6893,0
14,1150499.4,407349.3,253955.3,37381.1,3459.0,930.2,175.0,83.1,38.0,400,389,3643,0
15,1766226.6,815607.0,528554.5,121437.4,8868.0,2122.9,613.6,264.8,150.9,215,12,9342,0
16,1017666.8,411602.0,284509.7,87671.0,23939.1,2107.6,285.7,152.1,62.8,759,282,8148,0
17,1378507.9,490706.9,467969.4,61439.9,6030.5,835.1,35.4,9.6,7.5,515,621,7229,0
18,3499089.9,1606479.6,710390.7,118504.9,3336.4,885.7,276.7,241.2,44.8,823,1327,15162,0
19,401716.8,155704.0,150209.8,28121.9,1666.5,550.0,24.4,6.1,4.0,38,0,2224,0
20,3529916.7,1875198.6,728927.7,91470.4,5673.1,856.6,133.8,51.6,34.1,676,1379,13099,0
21,557038.8,343748.9,120237.4,22653.2,2336.5,440.8,126.5,41.3,20.8,70,1,1873,1
22,11511456.4,4236772.1,3921903.7,1717646.2,233175.0,43971.6,19048.8,8841.8,4663.5,677,1,117664,0
